# Generated by tools/gen_model_lights.py; one row per light, model path stem lowercase.
model,family,r,g,b,intensity,attenStart,attenEnd,x,y,z
world\expansion01\doodads\zangar\lamp\zangarlamppost01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.425,1.979,3.532
world\expansion01\doodads\zulaman\doors\zulaman_torchfire,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.046,0.060,0.763
world\expansion02\doodads\azjol-nerub\azjol_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.000,0.004,1.952
world\expansion02\doodads\azjol-nerub\azjol_brazier_02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.148,0.099,3.796
world\expansion02\doodads\azjol-nerub\azjol_brazier_03,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.018,0.004,4.375
world\expansion02\doodads\azjol-nerub\azjol_brazier_04,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.003,-0.007,4.341
world\expansion02\doodads\azjol-nerub\azjol_brazier_05,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.018,-0.001,4.320
world\expansion02\doodads\azjol-nerub\azjol_brazier_06,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.000,0.004,1.952
world\expansion02\doodads\azjol-nerub\azjol_chandelier_01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.018,0.018,1.123
world\expansion02\doodads\azjol-nerub\azjol_chandelier_02,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.018,0.018,1.123
world\expansion02\doodads\azjol-nerub\azjol_sconce_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.060,0.000,-0.005
world\expansion02\doodads\azjol-nerub\azjol_sconce_02,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.060,0.000,-0.005
world\expansion02\doodads\azjol-nerub\azjol_sconce_03,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.375,0.000,-0.063
world\expansion02\doodads\azjol-nerub\azjol_sconce_04,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.375,0.000,-0.063
world\expansion02\doodads\azjol-nerub\azjol_sconce_05,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.060,0.000,-0.005
world\expansion02\doodads\azjol-nerub\azjol_sconce_06,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.060,0.000,-0.005
world\expansion02\doodads\boreantundra\magnatauritems\snobold_candle01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.002,-0.005,0.364
world\expansion02\doodads\boreantundra\magnatauritems\snobold_candle02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.004,-0.001,0.385
world\expansion02\doodads\boreantundra\magnatauritems\snobold_candle03,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.003,-0.004,0.227
world\expansion02\doodads\boreantundra\magnatauritems\snobold_candle04,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.026,-0.008,0.451
world\expansion02\doodads\boreantundra\magnatauritems\snobold_candle_group01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.039,0.003,0.284
world\expansion02\doodads\boreantundra\magnatauritems\snobold_candle_group02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.008,-0.001,0.406
world\expansion02\doodads\dalaran\dalaran_chandelier01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.000,-0.000,-0.571
world\expansion02\doodads\dalaran\dalaran_chandelier01_short,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.000,-0.000,-0.253
world\expansion02\doodads\dalaran\dalaran_chandelier02,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.000,-0.003,-0.560
world\expansion02\doodads\dalaran\dalaran_chandelier02_short,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.000,-0.003,-0.207
world\expansion02\doodads\dalaran\dalaran_forge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-1.014,-7.141,0.682
world\expansion02\doodads\dalaran\dalaran_forgearms,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.507,0.091,7.112
world\expansion02\doodads\dalaran\dalaran_forgesmelter,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-1.167,6.762,0.620
world\expansion02\doodads\dalaran\dalaran_forgesmelter,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-3.946,5.663,0.620
world\expansion02\doodads\dalaran\dalaran_forgesmelter,hearth,1.000,0.450,0.150,1.00,2.00,8.00,1.308,6.762,0.620
world\expansion02\doodads\dalaran\dalaran_forgesmelter,hearth,1.000,0.450,0.150,1.00,2.00,8.00,3.946,5.595,0.620
world\expansion02\doodads\dalaran\dalaran_sconce_indoor_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.010,0.004,0.685
world\expansion02\doodads\dalaran\dalaran_sconce_indoor_02,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.231,0.003,1.027
world\expansion02\doodads\dalaran\dalaran_sconce_indoor_03,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.016,-0.002,0.498
world\expansion02\doodads\furbolgs\fb_lamppost_darkshore_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,1.690,0.568,3.033
world\expansion02\doodads\furbolgs\fb_lamppost_gh_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,1.690,0.568,3.033
world\expansion02\doodads\generic\ancientnightelf\borean_roadlamp01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.271,0.088,5.845
world\expansion02\doodads\generic\bonfire\bonfirenorthrend_01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.126,-0.094,0.736
world\expansion02\doodads\generic\bonfire\bonfirenorthrend_01blue,campfire,0.400,0.600,1.000,1.20,3.00,10.00,-0.126,-0.094,0.736
world\expansion02\doodads\generic\forsaken\fk_lamphanging,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.001,-0.001,3.173
world\expansion02\doodads\generic\forsaken\fk_lamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.014,-0.010,2.938
world\expansion02\doodads\generic\human\lamp\hu_lamp_northrend,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.001,-0.008,2.524
world\expansion02\doodads\generic\human\lamppost\hu_lamp_arm_northrend,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.451,-0.002,3.047
world\expansion02\doodads\generic\human\lamppost\hu_lamppost_northrend,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.140,0.009,2.930
world\expansion02\doodads\generic\human\torch\northrendtorch_01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.013,0.097,3.883
world\expansion02\doodads\generic\human\torch\northrendtorch_01blue,torch,0.400,0.600,1.000,1.00,2.00,8.00,-0.013,0.097,3.883
world\expansion02\doodads\generic\irondwarf\id_chandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.008,-0.027,-0.714
world\expansion02\doodads\generic\irondwarf\id_forge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.069,0.712,3.305
world\expansion02\doodads\generic\irondwarf\id_lamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.007,0.004,3.776
world\expansion02\doodads\generic\irondwarf\id_lantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.003,-0.014,0.134
world\expansion02\doodads\generic\irondwarf\id_large-lantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.004,-0.039,0.687
world\expansion02\doodads\generic\irondwarf\id_wall_lamp,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.845,-0.038,-0.195
world\expansion02\doodads\generic\northrend fires\northrendfreestandingtorch04_giant,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.008,-0.001,0.682
world\expansion02\doodads\generic\northrend fires\northrendgeneraltorch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.005,-0.001,1.982
world\expansion02\doodads\generic\northrend fires\northrendgeneraltorch02,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.005,-0.001,1.982
world\expansion02\doodads\generic\northrend fires\northrendorcbonfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.004,-0.084,0.483
world\expansion02\doodads\generic\northrend fires\northrendtallbraziernoomni01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.003,-0.041,1.642
world\expansion02\doodads\generic\oracle\o_lamppost_01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.000,-0.003,2.064
world\expansion02\doodads\generic\oracle\o_lampwall_01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,1.234,-0.077,0.572
world\expansion02\doodads\generic\scarletonslaught\scarleto_brazier_fire,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.193,-0.034,1.310
world\expansion02\doodads\generic\scarletonslaught\scarleto_brazier_lit,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.193,-0.034,1.310
world\expansion02\doodads\generic\scourge\sc_brazier1,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.111,-0.103,21.852
world\expansion02\doodads\generic\scourge\sc_brazier1_long,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.012,0.062,75.617
world\expansion02\doodads\generic\scourge\sc_brazier1_long_orange,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.492,-0.015,75.617
world\expansion02\doodads\generic\scourge\sc_brazier2,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.060,-0.048,3.221
world\expansion02\doodads\generic\scourge\sc_brazier2_long,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.029,0.006,75.709
world\expansion02\doodads\generic\scourge\sc_brazier2_long_orange,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.257,0.007,75.700
world\expansion02\doodads\generic\scourge\sc_brazier2_orange,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.256,-0.072,4.410
world\expansion02\doodads\generic\scourge\sc_brazier2_short,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.255,0.062,11.699
world\expansion02\doodads\generic\scourge\sc_brazier3,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.209,-0.023,8.942
world\expansion02\doodads\generic\scourge\sc_brazier3_orange,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.337,-0.023,8.893
world\expansion02\doodads\generic\scourge\sc_runeforge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.661,-0.001,2.830
world\expansion02\doodads\generic\scourge\sc_runeforge_02,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.590,0.010,9.179
world\expansion02\doodads\generic\tuskarr\forge\ts_forge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.233,0.008,0.745
world\expansion02\doodads\generic\tuskarr\lights\ts_lantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.000,0.000,0.757
world\expansion02\doodads\generic\tuskarr\lights\ts_lightpole,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.348,0.011,2.531
world\expansion02\doodads\generic\vrykul\brazier\vr_brazier_01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.005,-0.008,3.996
world\expansion02\doodads\generic\vrykul\brazier\vr_brazier_01_blue,brazier,0.400,0.600,1.000,1.20,3.00,10.00,-0.005,-0.008,3.996
world\expansion02\doodads\generic\vrykul\candles\vr_candle_stand_01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.006,0.085,4.501
world\expansion02\doodads\generic\vrykul\chandelier\vr_chandelier_01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.095,-0.053,3.183
world\expansion02\doodads\generic\vrykul\fires\vr_forgefire_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-4.321,9.095,9.381
